x,y,label,cell_type,cell_size_pixel
69.81,14.04,2,Keratin-positive tumor,314
102.765,15.405000000000001,3,Keratin-positive tumor,625
149.565,16.575,4,Macrophages,641
160.29000000000002,15.990000000000002,5,Keratin-positive tumor,587
201.435,15.405000000000001,6,DC / Mono,845
218.985,13.260000000000002,7,Keratin-positive tumor,230
249.21,16.185000000000002,8,Keratin-positive tumor,840
272.805,13.455000000000002,9,Keratin-positive tumor,208
280.21500000000003,14.625,10,Keratin-positive tumor,199
288.015,15.405000000000001,11,Keratin-positive tumor,471
309.07500000000005,14.625,12,Macrophages,529
335.01,13.65,13,Keratin-positive tumor,250
371.28,18.135,14,Keratin-positive tumor,892
372.255,14.04,15,Keratin-positive tumor,201
396.24,15.21,16,Keratin-positive tumor,517
405.99,13.455000000000002,17,Macrophages,176
423.53999999999996,14.04,18,Keratin-positive tumor,312
440.70000000000005,13.260000000000002,19,CD3-T,145
482.82,15.600000000000001,20,Keratin-positive tumor,516
497.83500000000004,14.82,21,Keratin-positive tumor,577
516.36,13.065000000000001,22,Macrophages,194
538.2,15.405000000000001,23,Keratin-positive tumor,526
550.485,17.745,24,Keratin-positive tumor,844
602.745,12.870000000000001,25,Keratin-positive tumor,275
619.125,13.844999999999999,26,Keratin-positive tumor,362
737.2950000000001,15.990000000000002,27,Keratin-positive tumor,494
749.58,14.04,28,Keratin-positive tumor,318
760.11,13.455000000000002,29,Keratin-positive tumor,159
457.275,15.015,30,Keratin-positive tumor,524
727.155,15.21,31,Keratin-positive tumor,573
412.815,13.260000000000002,32,Macrophages,138
168.285,15.990000000000002,33,Keratin-positive tumor,284
446.94000000000005,17.355,34,Macrophages,574
672.165,19.305,35,Keratin-positive tumor,1421
358.8,22.035000000000004,36,Keratin-positive tumor,1604
94.575,15.990000000000002,38,Keratin-positive tumor,297
597.2850000000001,16.770000000000003,39,Keratin-positive tumor,508
419.25,16.77,40,Other immune,342
174.135,19.695,41,Other immune,783
262.665,21.060000000000002,42,Keratin-positive tumor,1436
559.065,16.965,43,Keratin-positive tumor,340
648.5699999999999,15.405000000000001,44,Keratin-positive tumor,349
748.605,18.135,45,Keratin-positive tumor,456
128.31,16.77,46,Macrophages,440
486.33000000000004,19.5,47,Keratin-positive tumor,335
339.885,18.33,48,Keratin-positive tumor,759
505.635,22.23,50,Keratin-positive tumor,1803
412.035,17.745,51,Keratin-positive tumor,171
608.79,19.11,52,CD3-T,491
235.17000000000002,23.79,53,Keratin-positive tumor,1481
625.755,18.915,54,Keratin-positive tumor,638
769.2750000000001,17.94,55,Keratin-positive tumor,193
219.57,23.205000000000002,56,Keratin-positive tumor,1437
434.85,21.84,57,Macrophages,563
517.335,18.134999999999998,58,Macrophages,281
535.08,18.525,59,B,139
658.71,17.94,60,Other immune,190
113.295,18.915,61,Keratin-positive tumor,282
275.925,21.645000000000003,62,Keratin-positive tumor,757
700.245,21.060000000000002,63,Keratin-positive tumor,195
123.63,21.840000000000003,64,Macrophages,764
441.87,20.865000000000002,65,Macrophages,203
61.815,23.79,66,Keratin-positive tumor,989
106.665,24.18,67,Keratin-positive tumor,740
379.86,22.619999999999997,69,Keratin-positive tumor,207
427.05,21.060000000000002,70,Macrophages,99
694.59,20.67,71,Keratin-positive tumor,346
160.09500000000003,25.155,72,Keratin-positive tumor,1123
552.6300000000001,25.545,73,Keratin-positive tumor,547
561.6,27.3,74,Keratin-positive tumor,728
534.885,24.96,75,Other immune,695
652.2750000000001,26.130000000000003,76,Keratin-positive tumor,629
457.47,24.765,77,Macrophages,604
421.20000000000005,23.985,78,Macrophages,299
520.26,24.18,79,CD8-T,336
662.8050000000001,22.425,80,Keratin-positive tumor,132
204.945,23.01,81,DC / Mono,308
611.325,23.985,82,CD3-T,290
183.10500000000002,26.130000000000003,83,CD3-T,653
481.06500000000005,24.18,84,Keratin-positive tumor,146
600.21,24.765,85,Keratin-positive tumor,323
