x,y,label,cell_type,cell_size_pixel
35.1,15.795000000000002,2,Keratin-positive tumor,661
45.24,14.625,3,Keratin-positive tumor,334
54.795,13.455000000000002,4,Keratin-positive tumor,321
77.415,16.38,5,CD8-T,681
101.985,13.065000000000001,6,Keratin-positive tumor,198
122.46000000000001,12.48,7,Macrophages,132
138.64499999999998,12.870000000000001,8,Mono / Neu,114
147.615,13.065000000000001,9,DC / Mono,198
155.61,13.455000000000002,10,Keratin-positive tumor,183
165.945,15.795000000000002,11,Keratin-positive tumor,550
188.175,16.38,12,Keratin-positive tumor,594
198.315,15.21,13,Macrophages,578
219.57,12.285,14,DC / Mono,77
236.535,13.455000000000002,15,Macrophages,165
266.95500000000004,15.990000000000002,16,Endothelial,797
277.68,15.405000000000001,17,Other immune,315
347.88,15.405000000000001,18,Macrophages,333
355.29,12.870000000000001,19,Macrophages,136
365.235,14.235,20,DC / Mono,340
390.39,13.844999999999999,21,B,208
398.97,15.015,22,DC / Mono,335
404.82000000000005,14.04,23,Other immune,202
412.425,12.675,24,Mono / Neu,106
422.37,13.65,25,DC / Mono,274
433.68000000000006,14.04,26,Other immune,241
445.96500000000003,13.065000000000001,27,Macrophages,148
465.855,13.260000000000002,28,Other immune,150
482.43000000000006,14.82,29,Unidentified,368
492.18000000000006,15.21,30,Mono / Neu,334
514.995,16.77,31,Endothelial,836
533.52,14.625,32,Other immune,248
561.7950000000001,13.455000000000002,33,Macrophages,210
570.1800000000001,12.870000000000001,34,DC / Mono,120
595.53,12.48,35,Keratin-positive tumor,137
605.28,13.844999999999999,36,Keratin-positive tumor,155
622.05,16.575,37,Keratin-positive tumor,429
626.925,14.235,38,Keratin-positive tumor,238
640.185,14.625,39,Other immune,242
648.1800000000001,13.844999999999999,40,DC / Mono,224
663.585,13.260000000000002,41,Mesenchymal-like,212
677.625,14.04,42,Unidentified,440
690.69,13.65,43,Mono / Neu,225
700.44,12.48,44,Other immune,95
720.5250000000001,13.65,45,Endothelial,180
733.395,14.82,46,Other immune,433
754.4549999999999,12.870000000000001,47,Other immune,123
247.845,15.600000000000001,48,Macrophages,594
459.03,15.21,49,Other immune,425
542.8800000000001,16.185000000000002,50,Mono / Neu,530
294.84000000000003,16.575,51,Macrophages,462
339.105,16.185000000000002,52,Macrophages,428
473.265,16.38,53,Mesenchymal-like,549
233.22,15.405000000000001,55,DC / Mono,224
314.925,17.16,56,Macrophages,800
497.25,14.235,57,Mono / Neu,123
694.2,14.82,58,Mono / Neu,157
712.335,15.405000000000001,59,Other immune,510
224.25,17.55,60,DC / Mono,691
615.225,16.38,61,Keratin-positive tumor,405
303.615,17.16,63,Mono / Neu,614
504.27,18.525000000000002,64,Macrophages,827
134.16,16.77,65,Macrophages,771
529.0350000000001,17.745,66,Other immune,715
285.09000000000003,15.015,68,CD4-T,263
656.565,15.795,69,Mono / Neu,308
125.775,20.475,70,Macrophages,908
369.33000000000004,18.72,72,DC / Mono,621
609.375,16.965,73,Keratin-positive tumor,245
634.9200000000001,17.94,74,Other immune,650
21.255000000000003,19.11,75,Keratin-positive tumor,1044
724.62,17.16,80,Macrophages,469
329.94000000000005,17.745,81,Macrophages,461
380.25,16.965,82,Mono / Neu,489
602.1600000000001,17.94,83,Keratin-positive tumor,343
669.435,18.330000000000002,84,Macrophages,581
702.195,17.55,86,Other immune,290
354.315,18.330000000000002,88,Macrophages,426
557.505,16.380000000000003,89,CD8-T,411
148.005,18.72,90,CD8-T,263
573.105,18.915,91,Macrophages,534
588.51,17.94,92,Macrophages,286
162.63,24.375,94,Keratin-positive tumor,1058
335.01,18.33,95,Mono / Neu,210
649.9350000000001,19.305,97,DC / Mono,388
55.575,21.84,98,Keratin-positive tumor,534
252.33,20.085,99,CD4-T,173
282.36,19.305,101,Macrophages,234
362.31,19.89,102,Other immune,166
466.83000000000004,19.11,103,CD3-T,125
420.81000000000006,21.060000000000002,104,DC / Mono,446
88.72500000000001,20.67,106,Keratin-positive tumor,499
101.985,23.205000000000002,107,Keratin-positive tumor,875
113.88,25.155,108,Keratin-positive tumor,1511
178.23000000000002,20.475,109,Keratin-positive tumor,443
237.70499999999998,20.67,110,Macrophages,333
463.71000000000004,19.11,111,CD8-T,42
153.85500000000002,22.23,112,Keratin-positive tumor,426
481.45500000000004,22.814999999999998,114,Other immune,743
490.81500000000005,19.5,115,Other immune,144
401.115,21.84,116,CD8-T,209
584.61,22.23,117,Macrophages,686
696.345,20.085,118,CD8-T,455
686.01,21.450000000000003,119,Mono / Neu,470
766.935,20.865000000000002,120,Mono / Neu,329
68.44500000000001,20.865000000000002,121,Keratin-positive tumor,303
209.625,23.79,122,Macrophages,819
394.29,23.985,123,DC / Mono,784
45.045,22.62,124,CD8-T,352
444.795,24.765,125,Other immune,605
656.76,21.84,126,DC / Mono,105
747.435,22.62,127,DC / Mono,568
198.9,22.814999999999998,128,Other immune,355
457.86,24.96,130,CD8-T,672
35.685,28.275000000000002,131,Keratin-positive tumor,1145
186.81,23.79,132,Keratin-positive tumor,307
233.025,22.425,133,Macrophages,205
678.6,22.62,135,Other immune,346
146.25,24.96,137,CD8-T,523
262.47,26.325,138,Endothelial,979
382.395,22.815,142,B,222
615.8100000000001,25.740000000000002,144,Keratin-positive tumor,1058
707.46,22.425,145,Mono / Neu,316
728.9100000000001,23.985,146,Macrophages,384
76.83000000000001,25.740000000000002,147,Keratin-positive tumor,671
736.32,22.815,148,CD8-T,234
246.48000000000002,28.080000000000002,149,CD4-T,560
423.93000000000006,25.740000000000002,150,DC / Mono,319
714.48,24.18,152,Mono / Neu,397
721.89,24.375,153,Macrophages,211
433.875,27.69,154,Other immune,934
495.3,24.57,155,Mono / Neu,341
514.02,28.47,156,Endothelial,1094
760.3050000000001,25.545,157,Mono / Neu,481
95.745,27.885,158,Keratin-positive tumor,796
560.625,24.96,160,Keratin-positive tumor,313
743.145,25.935000000000002,161,CD8-T,388
172.96500000000003,25.740000000000002,162,Keratin-positive tumor,388
281.775,26.910000000000004,163,CD8-T,511
334.62,25.545,164,Mono / Neu,132
343.395,27.884999999999998,165,Macrophages,708
138.255,27.884999999999998,166,Macrophages,519
193.44,27.884999999999998,167,Macrophages,451
310.44,28.275,168,Other immune,513
253.305,29.055,170,CD4-T,522
303.225,26.52,171,Mono / Neu,137
595.53,24.57,172,Mono / Neu,183
11.7,25.935000000000002,173,Keratin-positive tumor,44
527.085,29.25,174,Endothelial,525
696.9300000000001,28.665,175,Macrophages,593
65.715,26.52,176,Keratin-positive tumor,832
377.71500000000003,29.445,179,Other immune,632
388.83000000000004,30.03,180,Other immune,764
642.5250000000001,28.08,181,Mono / Neu,553
574.2750000000001,32.175,183,Keratin-positive tumor,1136
217.815,28.275,184,Macrophages,264
85.215,29.64,185,Keratin-positive tumor,416
295.815,32.175,186,Macrophages,1018
233.805,29.64,188,DC / Mono,412
366.405,29.835,189,Macrophages,504
533.9100000000001,30.42,190,Mono / Neu,491
671.97,29.25,191,Mono / Neu,276
681.72,30.42,192,Macrophages,637
17.16,26.715,193,Keratin-positive tumor,493
129.48000000000002,31.785000000000004,194,CD3-T,584
181.15500000000003,31.785,195,Keratin-positive tumor,868
318.825,29.64,197,Macrophages,317
326.03999999999996,29.445,198,Macrophages,422
735.1500000000001,31.005000000000003,201,DC / Mono,465
54.795,27.69,202,Keratin-positive tumor,543
562.38,32.565,204,Keratin-positive tumor,753
