x,y,cell_type,label,size_x,size_y
287.03278,2.8688523999999997,Fibroblasts,1,476,456
248.33643999999998,4.495327,Fibroblasts,2,476,456
20.0,6.0,Cancer,3,476,456
147.91026000000002,4.8461537,Fibroblasts,4,476,456
65.735291,6.833333500000001,Vascular SMA+,5,476,456
42.676472,8.470588699999999,Cancer,6,476,456
199.25533000000001,10.808511,Cancer,7,476,456
32.407406,12.432098,Cancer,8,476,456
190.81482,10.0,Cancer,9,476,456
350.55037999999996,13.007750999999999,Cancer,10,476,456
140.3,13.566667,Fibroblasts,11,476,456
452.17297,10.454054,Cancer,12,476,456
234.91429,16.819048000000002,Cancer,13,476,456
116.04918,16.830601,Cancer,14,476,456
175.69948,14.673575,Cancer,15,476,456
225.76785,16.696428,Cancer,16,476,456
294.64001,17.440001000000002,Cancer,17,476,456
280.77988,16.836477,Cancer,18,476,456
441.44928,16.652174,Fibroblasts,19,476,456
156.33333000000002,19.578432,Fibroblasts,20,476,456
38.913044,20.550724,Cancer,21,476,456
133.22916999999998,20.875,Cancer,22,476,456
333.99515,22.514563,Cancer,23,476,456
65.277023,19.925676,Fibroblasts,24,476,456
244.03302000000002,23.825472,Cancer,25,476,456
7.6201925,24.653847,Cancer,26,476,456
50.501217,27.452555,Cancer,27,476,456
455.32309000000004,25.707693,Vascular SMA+,28,476,456
78.385544,26.927711,Fibroblasts,29,476,456
350.59677,27.290322999999997,Cancer,30,476,456
201.06122,28.576529999999998,Cancer,31,476,456
466.77127,30.973404,Fibroblasts,32,476,456
420.0946,30.918919,Fibroblasts,34,476,456
389.30612,34.612244,Cancer,35,476,456
321.21396,34.336242999999996,Cancer,36,476,456
357.33333999999996,36.567051,Cancer,37,476,456
425.75385,38.007690000000004,Fibroblasts,38,476,456
134.5592,37.203949,Cancer,39,476,456
219.30033999999998,36.42662,Cancer,40,476,456
56.599998,44.637035,Cancer,41,476,456
140.8421,45.289474,Cancer,42,476,456
115.0098,44.392159,Fibroblasts,43,476,456
167.45203,45.482323,Cancer,44,476,456
198.0,45.200001,Cancer,45,476,456
299.16666000000004,46.177082,Cancer,46,476,456
468.31032999999996,46.668964,Cancer,47,476,456
206.87624,48.782177000000004,Cancer,48,476,456
443.87097,46.716128999999995,Cancer,49,476,456
364.70792,49.272278,Cancer,50,476,456
411.83871,48.967743,Macrophages,51,476,456
333.05264,49.684212,Cancer,52,476,456
188.46378,53.275364,Cancer,53,476,456
45.813793,56.041378,Cancer,54,476,456
139.31343,60.32338299999999,Cancer,55,476,456
