CD8-T,Other immune,DC / Mono,CD3-T,B,NK,Kreatin-positive tumor,Tumor,CD4-T,Mesenchymal-like,Macrophages,Endothelial,Tregs,Unidentified,DC,Mono / Neu,Neutrophils,site_ID,patient_ID
8,8,13,18,17,0,128,0,12,5,11,0,0,4,0,0,1,1,1
7,5,10,25,286,0,73,0,38,4,7,1,0,0,0,0,0,2,1
10,12,2,14,133,2,108,0,6,0,5,0,0,0,0,0,0,3,1
2,8,9,9,5,0,140,0,9,3,11,2,0,2,0,0,1,4,1
17,11,19,31,154,0,114,0,32,1,11,1,0,0,0,0,0,5,1
2,10,6,7,9,0,142,0,8,3,16,3,0,1,0,0,0,6,1
7,13,11,10,17,0,144,0,12,1,10,1,0,2,0,0,2,7,1
15,13,2,17,228,2,87,0,17,0,7,0,0,0,0,0,0,8,1
10,4,3,11,25,0,145,1,8,1,6,0,0,0,0,0,0,9,1
9,17,10,10,11,2,124,0,5,9,28,10,0,3,0,0,0,10,1
16,3,6,11,56,0,144,0,18,1,8,0,0,0,0,0,2,11,1
8,6,19,28,166,0,95,0,37,4,11,2,0,0,0,0,0,12,1
5,11,9,21,17,0,136,0,16,0,13,6,0,0,0,0,3,13,1
7,4,8,29,143,0,101,0,46,4,10,5,0,0,0,0,0,14,1
12,9,8,36,261,0,65,0,60,3,4,9,0,1,0,0,2,15,1
12,12,18,31,159,0,104,0,38,4,10,2,0,0,0,0,0,16,1
8,10,8,8,7,0,140,0,7,4,16,2,0,2,0,0,0,17,1
7,8,22,27,69,0,117,0,24,4,11,2,0,0,0,0,1,18,1
7,17,13,11,11,0,123,0,5,9,27,9,0,5,0,0,0,19,1
6,9,17,20,27,0,123,0,20,1,15,2,0,3,0,0,2,20,1
14,12,17,12,19,0,138,0,10,1,23,0,0,2,0,1,0,21,1
12,10,1,16,258,2,81,0,18,0,5,0,0,0,0,0,0,22,1
6,12,14,17,18,0,136,0,13,1,13,1,0,3,0,0,2,23,1
5,14,8,6,9,2,153,0,3,1,10,2,0,3,0,0,0,24,1
7,10,14,10,9,0,140,0,4,3,15,0,0,2,0,0,0,25,1
19,9,17,28,133,0,119,0,27,1,13,1,0,0,0,0,0,26,1
7,16,5,6,6,2,140,0,1,2,16,1,0,2,0,0,1,27,1
8,16,10,12,14,2,159,0,8,0,15,2,0,0,0,0,0,28,1
2,19,5,6,6,0,146,0,2,9,19,10,0,5,0,0,0,29,1
4,10,16,24,30,0,120,0,22,1,15,2,0,3,0,0,2,30,1
4,12,18,21,34,0,126,0,20,1,16,2,0,3,0,0,2,31,1
4,9,13,14,22,0,130,0,14,1,15,2,0,2,0,0,2,32,1
8,6,7,20,322,0,63,0,44,3,6,1,0,1,0,0,0,33,1
12,16,18,21,58,0,128,0,20,1,18,1,0,1,0,0,0,34,1
1,9,8,6,4,0,136,0,5,3,10,2,0,2,0,0,1,35,1
3,13,12,9,11,1,155,0,7,4,9,2,0,2,0,0,0,36,1
15,15,17,23,63,0,127,0,23,2,18,1,0,0,0,0,0,37,1
14,2,7,16,37,0,138,1,13,1,6,0,0,0,0,0,2,38,1
4,7,11,15,13,0,133,0,11,1,19,1,0,1,0,0,2,39,1
4,10,16,16,16,0,134,0,15,0,17,2,0,1,0,0,2,40,1
9,11,16,11,16,0,137,0,6,3,23,1,0,4,0,1,1,41,1
14,2,6,15,25,0,126,0,13,0,4,0,0,0,0,0,0,42,1
5,6,14,10,8,0,139,0,4,2,11,0,0,1,0,0,1,43,1
3,8,8,16,9,0,136,0,15,2,16,2,0,2,0,0,0,44,1
8,16,7,7,8,2,141,0,7,0,19,2,0,4,0,0,0,45,1
2,10,9,8,9,0,146,0,3,3,11,2,0,2,0,0,1,46,1
6,10,2,9,63,2,128,0,1,0,6,0,0,2,0,1,0,47,1
2,15,6,6,5,0,143,1,2,8,13,6,0,4,0,0,0,48,1
10,9,14,13,17,0,131,0,4,1,22,1,0,4,0,1,1,49,1
7,3,2,11,18,0,139,1,7,1,3,0,0,0,0,0,0,50,1
2,10,9,16,13,0,133,0,10,1,17,1,0,1,0,0,2,51,1
5,10,12,10,8,0,139,0,4,6,14,0,0,3,0,0,0,52,1
2,11,12,12,19,1,151,0,9,5,13,1,0,2,0,0,0,53,1
10,13,11,10,12,0,131,0,3,4,25,1,0,1,0,1,1,54,1
3,9,4,4,8,0,142,1,1,2,9,0,0,2,0,0,0,55,1
7,16,13,9,10,0,126,0,6,10,29,10,0,5,0,0,0,56,1
4,9,16,16,14,0,137,0,13,0,17,2,0,1,0,0,2,57,1
11,3,4,13,22,0,132,1,7,1,4,0,0,0,0,0,0,58,1
10,4,6,17,28,0,129,0,22,0,9,0,0,2,1,0,0,59,1
1,9,11,9,6,0,145,0,2,2,11,2,0,2,0,0,1,60,1
2,6,6,5,5,0,161,0,0,1,18,1,0,4,0,0,0,61,1
9,5,9,11,18,2,131,0,9,6,25,6,0,3,0,0,0,62,1
9,10,8,30,74,0,115,0,36,3,11,6,0,0,0,0,3,63,1
14,13,11,22,23,2,134,0,8,3,14,1,0,5,0,0,0,64,1
3,7,4,16,499,0,34,0,34,3,1,1,0,1,0,0,0,65,1
6,15,8,9,7,0,144,0,1,2,18,1,0,3,0,0,1,66,1
