cell_marker,a1,a2,a3,a4,a1a2,a1a3,a1a4,a2a3,a2a4,a3a4
CD8-T;Beta catenin,-0.1850665786945018,-0.34454996261705495,0.5427850919089195,-0.07232274920590238,-0.2003474054644275,0.031325639137557794,-0.10592309880922984,0.32470990822094825,-0.2750047039106349,0.4970656530363503
CD8-T;H3K27me3,0.04160659491855485,0.32309159022998535,0.0633750704165776,-0.3422271121038155,0.08473557037975897,0.037689491251770076,-0.04887183813841293,0.2787237905541856,0.08936427941142253,-0.09909078575939981
CD8-T;Keratin6,-0.07128279118226276,-8.932181852856249e-4,0.4084394206967974,-0.35469972949555584,-0.03334091111972379,0.03874646512622129,-0.17476028068908472,0.3659789923515203,-0.31470289709057236,0.2818764054285769
Other immune;H3K27me3,-0.05616179248432579,0.4240098183707347,-0.19980650561864147,-0.2115894088491885,0.013401246549501073,-0.2396863637083424,-0.08209725202935515,-0.039145981862157245,0.41470088325804244,-0.23482027501897365
Other immune;H3K9ac,-0.03433115076963188,0.4618999646239775,-0.1932719612952957,-0.24513623657249559,0.04669722327641204,-0.229031526358138,-0.06538922874892826,-0.026775727535125398,0.4437789130968572,-0.2322186500476325
Other immune;HLA_Class_1,-0.1111203185679385,0.4541186446024056,-0.08556144167412344,-0.2113648393389692,0.0570169014604812,-0.21168931730024426,-0.1248602915735531,0.13779707622967302,0.4362375389500328,-0.1132295623501315
Other immune;phospho-S6,-0.0640945503546468,0.4356985546444133,-0.2561381888049535,-0.15023830831163637,0.020501509619558277,-0.28158193883119215,-0.08305809876267355,-0.08230119459626765,0.4401708194735327,-0.2885365407569831
DC / Mono;Beta catenin,0.02559665822497708,0.058493882400862514,0.280132676763079,-0.270216712908996,0.05159075632210965,0.18011199870345618,-0.05423856432080789,0.30833153074808956,-0.11958044775948103,0.21658584165247352
DC / Mono;CD45RO,0.16766576835633487,0.3919684869535547,-0.07905034991306098,-0.2546255428410989,0.2530242109154326,0.04853356841716618,0.0875728448402386,0.16165069759686063,0.2681135989209913,-0.1592345989951006
DC / Mono;HLA-DR,0.1410974981241889,0.31077813341344696,-0.05817536081219213,-0.2514300667235106,0.20808883687770238,0.054574534514096905,0.049601711356661166,0.09496821181159279,0.17331463530383903,-0.10992638266409253
DC / Mono;HLA_Class_1,0.021628380386062525,0.4213107639195858,-0.12097324614677492,-0.20245832173201267,0.15288364447650496,-0.12208539313819941,-0.04394348318144485,0.15028577915186328,0.3600851780434078,-0.20365852114717792
DC / Mono;IDO,0.0026955821762912544,0.32746489540093365,-0.08005754087516105,-0.14739683803994505,0.09538705537610462,-0.07781862068957048,-0.038972234010225586,0.11308578190490229,0.3012783812987467,-0.1333669341304803
DC / Mono;Keratin6,-0.08990499259280801,0.049430338568989804,0.38291283545814525,-0.35145440362725167,-0.057475476700869166,0.10923933080074485,-0.18648833322226638,0.3775878642537714,-0.13815158502990443,0.28728821005456323
CD3-T;Beta catenin,-0.08508334636589357,-0.0975214568114886,0.362571395040831,-0.2247133823643734,-0.05685752037474739,0.11997805438730712,-0.11540590698807802,0.3054511038307126,-0.2177934356444575,0.310495226014074
CD3-T;H3K27me3,-0.00447797706463575,0.3536527301650625,0.010914217549271714,-0.27894376615999594,0.07497618707153637,-0.04873676937215074,-0.06548478105053798,0.18148306985639906,0.2918149812735965,-0.08175248779970232
CD3-T;H3K9ac,0.012488523446969131,0.38471713933011914,0.015882378043469387,-0.31297411032405037,0.10761903270243957,-0.048430493527165185,-0.058106439967656055,0.20200177097690553,0.3030536518884413,-0.09284162513839327
CD3-T;Keratin6,-0.05490554395355971,-0.14420547560670496,0.5566832423328544,-0.4126258950864972,-0.0768094250618568,0.24694108619079055,-0.11889281605639221,0.41705207706187636,-0.3183879893436007,0.4908069570587182
CD3-T;phospho-S6,-0.09558633263410268,0.3378608335698687,0.028520542449583585,-0.23274655408558687,-0.004193517884377995,-0.09829051543225971,-0.13881713092401549,0.19996901013372964,0.30404326949354155,-0.056135343196795515
B;CD45RO,0.17741620472122926,0.3254925559315495,-0.15684630811507702,-0.35463330213676064,0.4248635763675352,-0.08604756481749132,-0.16662720025881808,0.020469313197555655,-0.10410576543306774,-0.20329833698365748
