cell_marker,a1,a2,a3,a4,a1a2,a1a3,a1a4,a2a3,a2a4,a3a4,a1a2a3,a1a2a4,a1a3a4,a2a3a4,a1a2a3a4
CD8-T;Beta.catenin,-0.18712186246966345,-0.31516796697270044,0.5377904789898171,-0.09668864916085221,-0.19743045200070455,0.035341179678033054,-0.12158848081344967,0.3271542734379402,-0.2766979968194807,0.49486065178140437,-0.029177660270010484,-0.13991526037740032,0.06354036100781899,0.3260493761490431,-0.0012684444873524107
CD8-T;H3K27me3,0.03321768376814359,0.32622026626430106,0.0680279094368531,-0.3418506544528801,0.0836383066369576,0.030478651085786804,-0.05897217767138458,0.2838155183229605,0.11279213284964187,-0.09102398474652028,0.07799396272599864,0.01758549737373923,-0.03745702540387679,0.16714170634384223,0.03238953312701543
CD8-T;H3K9ac,-0.009930444738093921,0.3003694011564107,0.10382247830903431,-0.33654367997601903,0.036949224186082104,-0.005350309758292441,-0.08648643249986242,0.3006117652226641,0.11840101888653379,-0.06020206645413632,0.034735527743338934,-0.014905855333477103,-0.06414508379657563,0.20063619756859657,-0.003610866255800315
CD8-T;Keratin6,-0.08371759537361934,-0.005267798512418284,0.41750095211799454,-0.34887023537678147,-0.044464592035103306,0.04076837511842547,-0.18364562880051483,0.37163440470394293,-0.2964883600126526,0.2994249153240601,0.03248587783136097,-0.1401395890407808,-0.011279667366601262,0.2581027208724301,-0.016039876710078185
Other immune;H3K27me3,-0.04709006420550934,0.40856421308088214,-0.1778057604460885,-0.22288481804732002,0.03343054505662786,-0.2194614361037272,-0.07382509156575331,-0.009319404163358764,0.3993105102377115,-0.211341891767077,-0.1358870537828186,0.02711502731992507,-0.22903543519322891,-0.01408731458111095,-0.13865675060447355
Other immune;H3K9ac,-0.032501090354078374,0.4526989608231722,-0.16476658273379927,-0.26598401293288476,0.06311597345708758,-0.207213211883169,-0.0652128112066052,0.008434005178774179,0.43515403003985587,-0.20218347827000208,-0.12287667784026982,0.05529676763002353,-0.2180941154106897,0.0026583087757140354,-0.12622033583656725
Other immune;HLA_Class_1,-0.1304800776604499,0.4702456943038473,-0.06691439557841732,-0.23070466477418836,0.07319116556361728,-0.20066153581149274,-0.147898152150829,0.17067633754418832,0.45392603548403465,-0.0949522373076103,-0.032245972743260604,0.06965445112454356,-0.21003470074794273,0.17466809179964424,-0.0325018236847306
Other immune;Keratin6,0.006254194875769637,-0.005171557333893936,0.3036930347548325,-0.3212612053806889,0.0255842122171239,0.1707115797403711,-0.03481243229216371,0.23395261655409685,-0.07478054432490895,0.2807830594594303,0.14494905099299712,0.0062974046076667315,0.15646113007232945,0.212811799070518,0.13633699745565384
Other immune;phospho.S6,-0.05220583513625076,0.4285518492342427,-0.22697318201373512,-0.17599412530323846,0.047180571525788736,-0.2601556007132484,-0.07287856106218298,-0.04521028669769609,0.430826093918896,-0.25813103450023955,-0.16422025235736154,0.04389666336233708,-0.2684565437125431,-0.04708547425576808,-0.16625234408281747
DC / Mono;Beta.catenin,0.02441015047484734,0.06521165982685807,0.2840144020582927,-0.2800292412845744,0.05619522965127663,0.17660841387064574,-0.05306232238476465,0.31014129217210396,-0.10772155481837117,0.22260162368547612,0.17070216635721525,-0.00133008870104719,0.1410878895452625,0.2697729859712946,0.1466777753370075
DC / Mono;CD45RO,0.1714220789885296,0.38753421453486964,-0.0918273184959749,-0.2444017753092347,0.2582865327868997,0.04077570768948825,0.09916571082976769,0.15198487620664236,0.28017227197628614,-0.16698994689136767,0.16989840875342996,0.22738790177263016,-0.005995912460684118,0.11365507547445979,0.14647045897347782
DC / Mono;HLA_Class_1,0.01100748427835764,0.41403411296631004,-0.1157558925879871,-0.2013604749056199,0.15095891912585271,-0.13056001840097123,-0.05411316749320425,0.1522587918535576,0.35790112921353584,-0.192889747564568,0.020064423555951793,0.12134259385139788,-0.1793385660271099,0.1232895950019906,-0.0073851323790677815
DC / Mono;IDO,-0.02234424426429063,0.3025303690565692,-0.0649357597467707,-0.1291030442395194,0.0714979721374701,-0.09206946598116784,-0.061771500570411995,0.11935577613493617,0.2852056622112587,-0.11336401766244791,0.003522550825079218,0.05819154009902269,-0.12102667074917077,0.10445185523736342,-0.010873778213257105
DC / Mono;Keratin6,-0.09596139004569246,0.03686278122206022,0.3838748193606727,-0.3390943003193334,-0.06238666700964398,0.10693040437005431,-0.1860435593997534,0.36509091475357924,-0.1345700276688441,0.30137893088074935,0.08897928527762104,-0.12903681721212912,0.06107289494345243,0.3119032978060162,0.05771902988278551
CD3-T;Beta.catenin,-0.0965492600920596,-0.08001028259402908,0.37136567451699787,-0.24365987654564072,-0.05913976441151406,0.1314719436749734,-0.1337935748160481,0.3141180901827387,-0.19606414455805646,0.32354256984257634,0.10883313047826015,-0.08302223832562591,0.10565785420975696,0.27976039985776313,0.09074618175903885
CD3-T;H3K27me3,-0.0056704361409155475,0.33483432000534735,0.014921117154656414,-0.26477408983329215,0.07725417842728924,-0.03578863004676483,-0.06400216627723918,0.18194627393325996,0.28354740803505823,-0.0698598652962557,0.03416166971398828,0.05331314801045249,-0.06874408776922254,0.15481963068120153,0.020456893296682467
CD3-T;H3K9ac,0.0013434571361908728,0.3632620091095997,0.02573034210827014,-0.2984846642494615,0.10214781516570089,-0.03666124572378619,-0.06604890667954567,0.2072500357093647,0.29381365206011073,-0.07392917074637465,0.044409604270751295,0.07319424600467275,-0.07569496173037547,0.17511730230418862,0.027442681421789766
CD3-T;Keratin6,-0.06520971037311196,-0.14569599906137864,0.5486484368294969,-0.40076738225794506,-0.08702806612527296,0.2526573785885378,-0.12795785780014104,0.39940521453444583,-0.30207168231459447,0.4926060399252121,0.16217925320202853,-0.13493773787072383,0.22362621469692961,0.3553168803540424,0.14238415179754352
CD3-T;phospho.S6,-0.09663647139914877,0.3174473761911369,0.037531014702470424,-0.2201909441540232,0.0025574123932812125,-0.08165980259343422,-0.13798222399999438,0.2053020443313513,0.29150512007584345,-0.03948670003534111,-0.013822930310187996,-0.013017030523452553,-0.10546881580652057,0.19770266248505025,-0.020685449727617815
B;CD138,-0.3153747090222182,-0.010546596372919895,0.24479584913169505,0.2706846749143577,-0.10812807502084637,0.1614323069354344,0.011848455003672572,0.1697356104513385,0.14317038236680968,0.25564738850475976,0.11341180189982888,0.03212889616569793,0.20840191514520803,0.1831529221407193,0.14635584391617776
B;CD45RO,0.18155390431215404,0.34606882440372927,-0.15477604331337985,-0.3500977220107415,0.4325273853786101,-0.07957037563686185,-0.15070144604309582,0.05480519226153172,-0.04199874645108109,-0.2097981982711487,0.1288861829560536,0.06972136865776711,-0.1661378203376374,-0.009646528596092522,0.0458214054359819
B;HLA.DR,0.5272263379032507,-8.914795489501637e-4,-0.36529461716143014,-0.5686298156221974,0.19448079667496238,-0.2405261087304487,-0.22929565912317834,-0.2166514216345363,-0.3695795758050954,-0.41183291987281234,-0.1205669134955111,-0.2128278341235078,-0.3328033586838397,-0.2724898882281896,-0.2009640343260787
B;HLA_Class_1,0.04276584442761018,0.34621753056972704,-0.10691901535516798,-0.2079034798883423,0.3167440199801311,-0.11107121319055106,-0.17928141947228188,0.12255161902998744,0.12758172104435908,-0.15261367553570854,0.1305445167892435,0.13331508549746482,-0.17618181865927637,0.07874049672142486,0.0781317192168477
B;Keratin6,-0.2992056236362129,0.06195627657507453,0.443375777684311,0.14104356904819576,-0.02889685581894446,0.36761802013020795,-0.05035256600896254,0.34907385920080686,0.13068912250941478,0.3914660150144715,0.2821203256107451,0.05010483353805637,0.3516792629159337,0.3235877929119527,0.28691937260208067
NK;CD138,-0.23637961006193875,-0.38848126225250473,0.18628814923804238,0.34454909214751045,-0.30341052670625435,-0.052718722776098216,-0.07675586102171862,-0.0513807421639868,-0.11253053246303175,0.29814204300651515,-0.16185834351134828,-0.19525905707722088,0.029415730221465868,0.059613796707619675,-0.10750107951430671
NK;H3K9ac,0.19896565345838066,0.27973981243505897,0.02371480461353283,-0.33288736441436195,0.23537146830539266,0.10472609245418764,0.06357775595314412,0.22052678400905062,0.03657646646016893,-0.07540595745719819,0.16666080732853764,0.13817408899655753,0.05060979347546708,0.15683084047134158,0.15485258821439093
NK;IDO,-0.2522486127444551,-0.09582356734781,0.23546700053636155,0.1387444972147149,-0.2554613541280543,-0.12151138575490035,-0.1987982616714669,0.2783092770674282,0.22819669016769373,0.23384929513151265,-0.10027062606240887,-0.16781412176022997,-0.12646176842564538,0.35201548918272696,-0.08771879245585551
NK;Keratin6,-0.005944150501008246,0.21986770745411005,0.2094198356970081,-0.322749624387039,0.07623651554873014,0.09573426554626506,-0.15154779953565276,0.29201973716053287,-0.1353544251364166,0.0686918837866908,0.13829999902283863,-0.07459137440775734,0.004619737928007377,0.17092846542973766,0.07020258487122263
NK;phospho.S6,0.05988336721647351,-0.10986609586031755,0.21940045603269073,-0.010449043764324612,-0.008049113065665676,0.10716794204492895,0.10393130326327735,0.251030519883155,0.05647929536516029,0.194462864559391,0.08375034082908292,0.09811632088606408,0.11237625488257395,0.315472497848645,0.13749460799637606
Keratin-positive tumor;H3K9ac,-0.1828803395229074,0.18830964152725282,0.3360770992183312,-0.39136950418327304,0.033903055494518844,-0.06405109990962984,-0.2547079703059874,0.2593562025574084,0.08556386538729505,-0.20590915521121397,0.07302043104226673,-0.008371002337755593,-0.1966573842919815,0.1454754320874357,0.01747887079076038
Keratin-positive tumor;HLA.DR,-0.08309264119578796,0.4595134401771904,-0.155425769149454,0.02509409605047088,0.19052163804601197,-0.10942900193589808,-0.09357916435800025,0.4222316381659608,0.4571888842784991,-0.19071283958945542,0.17790565795234928,0.187488840163036,-0.11258940848903536,0.45622397988077296,0.18728164801149705
Keratin-positive tumor;HLA_Class_1,-0.29771483828630485,0.5462146792543838,0.09515464088655137,-0.2161584535434362,0.1919611235117174,-0.24540370825494878,-0.326200705203249,0.5599320383077526,0.4870899889178879,-0.28292020210883573,0.2064519773546781,0.1633625318291153,-0.32051905603001674,0.5241490821157104,0.18117215989304003
Keratin-positive tumor;p53,-0.17312262491432762,0.09941034545002528,0.2537222814338648,-0.301405210660643,-0.057809182962403664,-0.08579489287760565,-0.22516149227931792,0.14878094615666973,0.014210622189062293,-0.21048177177201757,-0.03144576763575001,-0.08874442340311353,-0.19377355756271475,0.05514043819714864,-0.07504488416952608
